ID_REF,GSM3446059,GSM3446060,GSM3446061,GSM3446062,GSM3446063,GSM3446064,GSM3446065,GSM3446066,GSM3446067,GSM3446068,GSM3446069,GSM3446070
A_19_P00316602,0.06226423,0.252270235,0.075972005,0.059226695,0.185535544,0.433306205,0.04649967,0.041258009,0.057774613,0.037727858,0.043261194,0.06081451
A_19_P00316622,0.066344956,0.273910106,0.082031215,0.065320439,0.199024453,0.455158081,0.054541909,0.048822183,0.109768134,0.098129655,0.051334637,0.100307056
A_19_P00316624,1.743175422,0.30471058,1.690071052,1.689205442,0.905237233,0.370584,2.913317827,2.25566309,1.72007408,2.890596628,2.080240456,1.284478017
A_19_P00316625,0.069687809,0.281080836,0.085918046,0.067188526,0.269531856,0.488541153,0.05387934,0.047693792,0.06668219,0.043445031,0.049617003,0.070569471
A_19_P00316657,0.06994989,0.282263346,0.086379334,0.067465792,0.211714209,0.490790626,0.053968223,0.047744137,0.066747194,0.043439491,0.049643203,0.070674795
A_19_P00316667,0.061584094,0.534137656,0.155547703,0.076343493,0.581707923,1.114797321,0.210068143,0.116171493,0.130776181,0.096179524,0.116002701,0.248685794
A_19_P00316675,0.055289142,0.222125003,0.067031592,0.052556303,0.163291342,0.38515971,0.042498587,0.037700566,0.052500537,0.034257769,0.039201148,0.054874892
A_19_P00316682,0.0628157,0.224574293,0.067645135,0.074633497,0.162133487,0.385868773,0.041669783,0.037199628,0.052115228,0.074831562,0.038767661,0.091455599
A_19_P00316694,0.068847167,0.275250254,0.083530478,0.065705129,0.204912514,0.493915791,0.056423908,0.050842754,0.070191546,0.046186115,0.052965876,0.074178438
A_19_P00316701,111.9594349,61.0899731,127.6698452,111.1969032,110.5337397,26.72938984,101.2547656,162.711059,134.1072107,73.24632644,142.9611168,108.9760731
A_19_P00316705,0.062246594,0.266580304,0.07699126,0.061215822,0.418833139,0.44139439,0.065147219,0.041037624,0.057463831,0.071130465,0.077835105,0.059896935
A_19_P00316719,0.070159029,0.286971546,0.085586437,0.11417857,0.209431971,0.48710024,0.05088813,0.045170275,0.075227382,0.041572963,0.047302699,0.066857212
A_19_P00316726,17.58976618,45.81648895,30.44605922,22.41378358,41.2960532,28.98355188,19.69383267,23.62090933,39.70065762,13.40899308,31.79795323,41.71649375
A_19_P00316753,3.194366838,9.420151094,5.253048847,3.528546935,5.290322235,9.189879853,2.862261729,3.3346106,4.971450354,2.265015778,4.829824275,5.19817967
A_19_P00316758,0.095104492,0.256672066,0.092040951,0.117770899,0.20964937,0.446296965,0.139640226,0.044715754,0.063000452,0.04052866,0.048049972,0.07720979
A_19_P00316778,0.188811102,0.421140813,0.074896276,0.148260954,0.325584291,0.42376537,0.04602393,0.060034973,0.059651673,0.103488861,0.083854301,0.150367533
A_19_P00316815,0.53072562,1.785885888,0.77603079,0.846996522,0.754168318,1.435095554,0.523805252,0.565079438,0.772884886,0.312964907,0.464995287,0.655398284
A_19_P00316820,0.249810929,0.285654666,0.219490089,0.405148358,0.206540198,0.475558557,0.210918961,0.354325254,0.403904661,0.256553409,0.249695322,0.162166171
A_19_P00316836,0.692355291,0.570543373,0.075694553,0.410226274,0.505587325,0.89158576,0.170681938,0.126854465,0.21303518,0.128639339,0.124010226,0.238860317
A_19_P00316839,0.069713381,0.287153669,0.08634222,0.068542166,0.206256473,0.490969497,0.053660135,0.048218247,0.067792054,0.04305922,0.049249108,0.070699151
A_19_P00316846,0.115034683,0.249717477,0.10119885,0.059130189,0.179878791,0.609681849,0.045458179,0.040437987,0.056586331,0.036472275,0.042098499,0.059580222
A_19_P00316857,1.315887497,1.665408509,1.072566828,1.622352367,2.288135359,3.758755308,0.829683925,1.164445889,1.215394779,0.74958632,1.268526343,1.415647878
A_19_P00316871,0.070992503,0.288349055,0.088296545,0.068658398,0.215642807,0.501866516,0.05376112,0.047380811,0.066239243,0.042920164,0.049128507,0.070203356
A_19_P00316914,0.052183879,0.214088959,0.064036581,0.050765968,0.154047674,0.36931913,0.040194132,0.035863846,0.265989776,0.032488013,0.037650087,0.052466269
A_19_P00316933,0.121658995,0.292799136,0.089012651,0.069415358,0.217404439,0.507183617,0.105727311,0.114257439,0.166386005,0.090335071,0.199314863,0.223684005
A_19_P00316985,0.467520619,2.377619577,0.716247399,0.362333273,0.587389043,4.794458227,0.384121494,0.627234535,0.844539906,0.537233435,0.674017362,0.632860373
A_19_P00317016,0.065897644,0.264670058,0.115685135,0.062826212,0.197202671,0.457699144,0.049172823,0.043502267,0.10660443,0.03986111,0.045322523,0.125019375
A_19_P00317023,6.452411282,24.91805575,11.00806737,6.54767539,11.57634726,30.7262543,4.514031544,7.503085509,10.40083392,4.350131461,9.409658077,6.715936549
A_19_P00317034,0.062714333,0.251921193,0.07601612,0.059672416,0.187074652,0.435333395,0.046869311,0.041519216,0.05797899,0.037984602,0.043324341,0.060863656
A_19_P00317042,0.383891654,0.793843294,0.404031841,0.302010832,0.802209624,1.741347943,0.321879812,0.396236448,0.543644572,0.18498818,0.530961257,0.510958208
A_19_P00317046,0.054058957,0.42660956,0.066873359,0.111616174,0.161810451,0.383783874,0.041913099,0.037452349,0.05249143,0.033982189,0.03913652,0.055275938
A_19_P00317053,0.071671075,0.295145531,0.088897546,0.070714677,0.212815391,0.514039027,0.053554626,0.082256437,0.067528976,0.042941563,0.049028003,0.069921066
A_19_P00317054,0.672776757,0.672094545,0.851215732,0.363860286,0.44815556,0.461209553,0.374317914,0.605492393,0.658923918,0.298550274,0.582605247,0.5869777
A_19_P00317094,0.447246563,2.962643429,1.01644416,0.572029863,1.802073682,5.535518663,0.380592991,0.556428145,0.972149416,0.300345739,0.766171544,0.968688621
A_19_P00317144,0.059723304,0.228290875,0.06843134,0.05457672,0.191102665,0.392514431,0.043720975,0.039068563,0.054751527,0.038012684,0.040949181,0.08584294
A_19_P00317159,0.064653904,0.255394525,0.344624076,0.186833103,0.189611149,0.459457907,0.122808558,0.066478042,0.140957505,0.046747554,0.184146158,0.106596724
A_19_P00317168,0.060395443,0.244436426,0.08872165,0.058586306,0.180830094,0.424379802,0.048078963,0.042932857,0.060118799,0.039507482,0.044947525,0.063354434
A_19_P00317171,0.070593663,0.291971104,0.08697699,0.069086345,0.209303595,0.501572307,0.052748515,0.047022674,0.065937262,0.042018845,0.048058186,0.068134368
A_19_P00317178,2.947312631,0.468918987,3.0504845,2.732947224,1.439430766,0.404335309,3.449091256,5.750940853,3.753146486,2.426293704,3.841390154,2.012604509
A_19_P00317180,0.980254404,7.135940075,0.842971231,0.612870411,1.013626902,1.29964797,0.779259542,0.780013782,0.852904053,1.01623589,1.037570112,0.880702508
A_19_P00317237,0.554106363,0.573493961,0.579609401,0.309035826,0.213020252,0.508615876,0.439410881,0.491684336,0.490209993,0.525520282,0.609291053,0.498847656
A_19_P00317277,0.058667202,0.235796482,0.071124366,0.056298723,0.174554505,0.40986105,0.045199292,0.17786275,0.071731848,0.036855507,0.042019552,0.058942146
A_19_P00317287,0.056526943,0.294611694,0.068562427,0.083519385,0.170345767,0.588000954,0.043981134,0.05664344,0.054204859,0.0351078,0.067060033,0.103865109
A_19_P00317314,0.101924777,0.705844944,0.354360205,0.106718685,0.168871117,0.398075393,0.083875728,0.090134561,0.05517387,0.155112031,0.046780432,0.110156039
A_19_P00317332,0.062281263,0.250239944,0.075524336,0.059733249,0.186038485,0.434507776,0.051219323,0.042450666,0.059393028,0.038969575,0.044220465,0.1091702
